Location,Latitude,Longitude,Vegetation_Type,Biodiversity_Index,Protected_Area,Elevation_m,Slope_Degree,Soil_Type,Air_Quality_Index,Average_Temperature_C,Flood_Risk,Tourist_Attractions,Accessibility_Score,Tourist_Capacity_Limit,Climate_Risk_Score
Site 1,24.9816047538945,-102.44551358057905,Wetland,0.9033573840223638,False,2901,28,Sandy,129,9.772176986593163,Moderate,6,8,958,0.6264271266803583
Site 2,48.02857225639664,-96.8595038437485,Mountain,0.5082697246449384,True,257,34,Clay,92,-8.684627328533745,Moderate,4,4,485,0.27542673137825135
Site 3,39.2797576724562,-70.18168247584738,Mountain,0.5934039490952492,False,3459,48,Sandy,104,0.7213485060520632,High,3,9,112,0.5920996125041886
Site 4,33.946339367881464,-106.19969297580755,Grassland,0.8274526510589155,False,44,36,Clay,124,13.825355742708716,High,4,4,602,0.6818838165757662
Site 5,16.24074561769746,-69.124522063148,Forest,0.6878796739019815,False,268,20,Clay,72,2.95858324863409,High,8,2,792,0.39606557027235334
Site 6,16.239780813448107,-123.8305898316316,Mountain,0.9912413255305534,False,1334,20,Loam,71,24.82101761413037,High,6,4,712,0.3841126898526551
Site 7,12.32334448672798,-75.62410939539585,Grassland,0.832702396319127,False,671,27,Loam,132,27.470616748768613,Low,9,5,224,0.15421464980018232
Site 8,44.647045830997406,-70.67166568616845,Wetland,0.9782744543646033,True,3066,5,Rocky,77,7.661714617988949,Moderate,5,8,882,0.9611430039319638
Site 9,34.04460046972835,-117.27276430138629,Wetland,0.6007232408228969,True,1301,19,Sandy,57,11.280819016648888,High,9,3,787,0.823254335208066
Site 10,38.32290311184182,-99.87574273394597,Wetland,0.9319785140575115,True,2904,35,Rocky,124,15.232330732440396,Low,4,9,976,0.7835042178140191
Site 11,10.823379771832098,-118.41501577354411,Wetland,0.6606761529076126,False,3546,12,Loam,10,16.58139864379159,High,4,9,658,0.1196010279476659
Site 12,48.79639408647977,-80.53771097040476,Grassland,0.9947824041189034,False,3638,39,Sandy,26,-7.469682223980616,Low,6,3,789,0.6618781941328882
Site 13,43.29770563201687,-92.52565623568402,Forest,0.5788443360365736,False,2192,10,Loam,55,-7.8528227893536195,Moderate,7,8,85,0.26256568191211893
Site 14,18.493564427131048,-85.52736573041753,Grassland,0.7581699094191633,True,1989,23,Sandy,125,24.62350696991016,High,2,6,63,0.6955457781747673
Site 15,17.272998688284027,-116.24591231306522,Forest,0.896422266918561,False,234,18,Clay,58,-1.2051181282924475,Low,4,6,214,0.6590399418778828
Site 16,17.33618039413735,-115.17778965633063,Wetland,0.7163212403020179,False,2738,22,Rocky,108,13.364220117752332,Low,8,2,977,0.8667328218975201
Site 17,22.16968971838151,-127.09518721430655,Mountain,0.7340420300938233,False,2767,30,Rocky,39,14.986872580544343,Moderate,9,8,230,0.3298906857833209
